# This is a continuation of trace file C:\EDT WS\GraduationWS\.metadata\trace.log.bak_0
# version: 1.1
# verbose: true
# Time of creation: 2026-05-26 21:21:14.341
| derived_data_executor_4 | 2026-05-26 21:21:14.341 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Skipping changed file because no owner object was found: L/Graduation/.metadata/.plugins/org.eclipse.core.runtime/.settings/org.eclipse.wst.server.core.prefs |
| derived_data_executor_7 | 2026-05-26 21:21:14.351 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Graduation/.metadata/telemetry.log.0 |
| derived_data_executor_2 | 2026-05-26 21:21:14.349 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | There are no objects to update in infobase after file has been changed:  changed file=L/Graduation/.metadata/.plugins/org.eclipse.core.resources/0.snap, originally changed objects=null |
| derived_data_executor_3 | 2026-05-26 21:21:14.349 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Skipping changed file because no owner object was found: L/Graduation/.metadata/.plugins/org.eclipse.egit.core/.org.eclipse.egit.core.cmp/.project |
| derived_data_executor_3 | 2026-05-26 21:21:14.359 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | There are no objects to update in infobase after file has been changed:  changed file=L/Graduation/.metadata/.plugins/org.eclipse.egit.core/.org.eclipse.egit.core.cmp/.project, originally changed objects=null |
| derived_data_executor_8 | 2026-05-26 21:21:14.347 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Graduation/.metadata/.plugins/org.eclipse.core.runtime/.settings/org.eclipse.core.resources.prefs |
| derived_data_executor_9 | 2026-05-26 21:21:14.347 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | There are no objects to update in infobase after file has been changed:  changed file=L/Graduation/.metadata/telemetry.log.0.lck, originally changed objects=null |
| derived_data_executor_8 | 2026-05-26 21:21:14.361 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Skipping changed file because no owner object was found: L/Graduation/.metadata/.plugins/org.eclipse.core.runtime/.settings/org.eclipse.core.resources.prefs |
| derived_data_executor_8 | 2026-05-26 21:21:14.362 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | There are no objects to update in infobase after file has been changed:  changed file=L/Graduation/.metadata/.plugins/org.eclipse.core.runtime/.settings/org.eclipse.core.resources.prefs, originally changed objects=null |
| derived_data_executor_7 | 2026-05-26 21:21:14.357 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Skipping changed file because no owner object was found: L/Graduation/.metadata/telemetry.log.0 |
| derived_data_executor_4 | 2026-05-26 21:21:14.355 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | There are no objects to update in infobase after file has been changed:  changed file=L/Graduation/.metadata/.plugins/org.eclipse.core.runtime/.settings/org.eclipse.wst.server.core.prefs, originally changed objects=null |
